club ,points,GPG,SPG,STPG,PST,PSG,PSTG,PR,CPG,YCPG,RCPG,TPG,PPG,PGCA,PCS,GCPG,SAPG,CRPG,PLP,PGOB,TBICPG,PTS,PSV,TF,FS
watford,40,1.052631579,11.10526316,3.763157895,33.88625592,9.478672986,27.97202797,no,4.315789474,2.210526316,0.131578947,567.0263158,369.7105263,0,18.42105263,1.789473684,3.184210526,18.05263158,18.50665528,10,60.15789474,1.553361424,2.988027477,0,0
west brom,45,1.131578947,10.5,3.236842105,30.82706767,10.77694236,34.95934959,no,4.184210526,2.105263158,0,501.1052632,311.1842105,6.976744186,15.78947368,1.342105263,3.052631579,20.15789474,22.43551797,13.95348837,60.28947368,1.374756305,2.095786992,0,0
west ham,45,1.236842105,13.13157895,3.631578947,27.65531062,9.418837675,34.05797101,no,4.526315789,2.052631579,0.131578947,596.4736842,398.0789474,6.382978723,26.31578947,1.684210526,3.078947368,19.78947368,17.33324519,12.76595745,62.47368421,5.34557575,4.644924011,0,0
arsenal,71,1.710526316,15.02631579,5.552631579,36.95271454,11.38353765,30.8056872,no,5.973684211,1.052631579,0.105263158,772.0263158,559.1842105,4.615384615,47.36842105,0.947368421,3.105263158,19.84210526,8.748646995,6.153846154,63.68421053,3.105389144,9.424602154,1,0
aston villa,17,0.710526316,10,2.894736842,28.94736842,7.105263158,24.54545455,no,4.394736842,1.973684211,0.078947368,611.4210526,402.8421053,3.703703704,15.78947368,2,3.052631579,20.94736842,16.37705775,22.22222222,67.97368421,0.239373747,2.427938897,0,0
bournemouth,42,1.184210526,12.21052632,3.763157895,30.81896552,9.698275862,31.46853147,yes,5.815789474,1.394736842,0.026315789,665.5526316,454.4736842,0,18.42105263,1.763157895,2.368421053,19.71052632,14.38332368,13.33333333,63.31578947,7.046645533,2.056389112,0,0
chelsea,50,1.552631579,13.84210526,4.552631579,32.88973384,11.21673004,34.10404624,no,6.315789474,1.526315789,0.131578947,720.0526316,517.4736842,1.694915254,23.68421053,1.394736842,3.210526316,19.26315789,11.75752644,18.6440678,58.78947368,1.165814841,11.39350724,1,0
crystal palace,42,1.026315789,12.34210526,4.026315789,32.62260128,8.315565032,25.49019608,no,5.763157895,1.578947368,0.052631579,575.2894737,362.7631579,0,21.05263158,1.342105263,3.210526316,25.5,20.01450852,15.38461538,65.42105263,3.027754415,2.793313339,0,0
everton,47,1.552631579,12.92105263,4.605263158,35.64154786,12.01629328,33.71428571,no,5.736842105,1.157894737,0.131578947,677.3947368,472.2894737,3.389830508,26.31578947,1.447368421,3.342105263,20.57894737,15.2783195,10.16949153,63.02631579,4.813353173,5.143031229,0,0
leicester,81,1.789473684,13.73684211,4.710526316,34.29118774,13.02681992,37.98882682,no,5.184210526,1.263157895,0.078947368,571.3157895,351.8421053,8.823529412,39.47368421,0.947368421,2.605263158,20.05263158,20.15706806,4.411764706,76.15789474,5.23387462,3.316159019,0,0
liverpool,60,1.657894737,16.55263158,5.315789474,32.11446741,10.01589825,31.18811881,no,6.973684211,1.605263158,0.078947368,733.9473684,519.2894737,1.587301587,28.94736842,1.315789474,2.131578947,20.52631579,12.01033801,23.80952381,63.13157895,4.651614155,7.724324469,0,1
man city,66,1.868421053,16.18421053,5.526315789,34.14634146,11.54471545,33.80952381,no,6.763157895,1.605263158,0,747.2631579,539.1578947,7.042253521,42.10526316,1.078947368,2.263157895,22.78947368,10.15716517,19.71830986,62.23684211,18.24804296,10.27885789,1,0
man u,66,1.289473684,11.31578947,3.789473684,33.48837209,11.39534884,34.02777778,no,6,1.710526316,0.026315789,724.7894737,528.1578947,4.081632653,47.36842105,0.921052632,2.368421053,20.68421053,13.19880419,10.20408163,58.02631579,7.159215889,9.054081593,1,0
newcastle,37,1.157894737,10.44736842,3.973684211,38.03526448,11.08312343,29.13907285,no,4.236842105,1.578947368,0.131578947,605.0789474,397.8421053,9.090909091,21.05263158,1.710526316,3.026315789,20.39473684,17.05252017,13.63636364,66.65789474,13.2341334,4.075726169,0,0
norwich,34,1.026315789,11,3.394736842,30.86124402,9.330143541,30.23255814,yes,4.947368421,1.605263158,0.078947368,577.2631579,381.1315789,0,13.15789474,1.763157895,2.710526316,21.52631579,18.79444866,15.38461538,63.18421053,3.753639128,2.406325198,0,0
southampton,63,1.552631579,13.65789474,4.368421053,31.98458574,11.36801541,35.54216867,no,5.789473684,1.5,0.157894737,624.1052632,418.7631579,5.084745763,31.57894737,1.078947368,2.473684211,25.15789474,15.76698297,10.16949153,70,0.957494986,4.641799248,0,0
stoke,51,1.078947368,11.02631579,3.368421053,30.54892601,9.785202864,32.03125,no,4.026315789,1.342105263,0.105263158,622.7105263,430.0526316,0,26.31578947,1.447368421,3.184210526,17.97368421,14.55758169,19.51219512,59.5,3.939962477,3.025917913,0,0
sunderland,39,1.263157895,11.55263158,3.710526316,32.11845103,10.93394077,34.04255319,no,4.026315789,1.684210526,0.052631579,535.2368421,336.8157895,4.166666667,18.42105263,1.631578947,4.105263158,15.5,20.5875459,16.66666667,72.60526316,7.122986349,2.290022911,0,0
swansea,47,1.105263158,11.60526316,3.578947368,30.83900227,9.523809524,30.88235294,no,4.289473684,1.578947368,0.026315789,683.9210526,478.1315789,7.142857143,23.68421053,1.368421053,3.131578947,19.07894737,13.29737465,16.66666667,66.02631579,0.648249984,3.001216543,0,0
tottenham,70,1.815789474,17.34210526,6.631578947,38.23975721,10.47040971,27.38095238,no,6.684210526,1.894736842,0,710.8947368,490.7631579,4.347826087,34.21052632,0.921052632,2.342105263,19.42105263,13.6951043,14.49275362,69.36842105,-2.102607233,7.654337252,0,1
watford,45,1.052631579,11.73684211,3.684210526,31.39013453,8.968609865,28.57142857,yes,4.315789474,1.921052632,0.078947368,588.4736842,382.3947368,0,28.94736842,1.315789474,3.184210526,18.5,20.22572431,7.5,68.42105263,9.452028207,2.820073157,0,0
west brom,43,0.894736842,10.21052632,2.815789474,27.57731959,8.762886598,31.77570093,no,4.947368421,1.710526316,0.078947368,521.6315789,322.6842105,0,28.94736842,1.263157895,2.868421053,22.28947368,21.70119067,8.823529412,66.5,3.879148606,2.32810419,0,0
west ham,62,1.710526316,14.68421053,4.868421053,33.15412186,11.64874552,35.13513514,no,5.894736842,1.526315789,0.131578947,608,395.5526316,3.076923077,28.94736842,1.342105263,2.921052632,21.18421053,17.08469164,15.38461538,66.94736842,4.423885618,4.144272473,0,0
arsenal,75,1.868421053,16.05263158,5.973684211,37.21311475,11.63934426,31.27753304,no,6.684210526,1.789473684,0.052631579,764.3421053,540.1842105,2.816901408,34.21052632,0.947368421,2.526315789,22.78947368,8.520485215,12.67605634,68.76315789,16.15234721,9.846982989,1,0
aston villa,38,0.815789474,11,3.289473684,29.90430622,7.416267943,24.8,no,4.5,1.842105263,0.184210526,625.9210526,434.9210526,6.451612903,26.31578947,1.5,2.947368421,20.15789474,16.57893145,9.677419355,62.5,2.148804252,2.712520329,0,0
burnley,33,0.736842105,11.31578947,3.289473684,29.06976744,6.511627907,22.4,yes,4.5,1.684210526,0.052631579,569.0526316,358.7368421,0,26.31578947,1.394736842,3.368421053,20.60526316,22.16109155,14.28571429,74.23684211,2.235606732,1.247640642,0,0
chelsea,87,1.921052632,14.84210526,5.526315789,37.23404255,12.94326241,34.76190476,no,5.947368421,1.921052632,0.105263158,733.1842105,533.3684211,1.369863014,44.73684211,0.842105263,2.368421053,17.94736842,11.22952437,9.589041096,59.57894737,-0.905225864,13.23021403,1,0
crystal palace,48,1.236842105,11.60526316,3.657894737,31.51927438,10.65759637,33.81294964,no,5.5,1.657894737,0.105263158,536.4736842,317.6578947,0,18.42105263,1.342105263,2.473684211,21.94736842,21.6137851,12.76595745,74.07894737,5.02214349,2.308906801,0,0
everton,47,1.263157895,12.71052632,4.368421053,34.36853002,9.937888199,28.91566265,no,5.105263158,1.736842105,0.052631579,703.3947368,494.9736842,10.41666667,26.31578947,1.315789474,2.105263158,18.15789474,13.62645542,16.66666667,67.05263158,6.777679362,4.341219625,0,1
hull,35,0.868421053,11.26315789,3.447368421,30.60747664,7.710280374,25.19083969,no,4.447368421,1.921052632,0.157894737,591.1578947,391.1578947,6.060606061,26.31578947,1.342105263,2.684210526,21.15789474,18.33961249,9.090909091,74.84210526,5.229406554,2.78018495,0,0
